Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
285,5.44831e-05,3.21885e-05,3.07958e-05,4.91723e-05,3.1757e-05
284,4.96701e-05,2.92906e-05,2.80189e-05,4.48123e-05,2.88966e-05
283,4.52527e-05,2.66359e-05,2.54755e-05,4.08121e-05,2.62763e-05
282,4.12009e-05,2.42054e-05,2.31472e-05,3.71443e-05,2.38775e-05
281,3.74869e-05,2.19818e-05,2.10174e-05,3.37834e-05,2.16829e-05
280,3.40846e-05,1.99487e-05,1.90705e-05,3.07059e-05,1.96765e-05
279,3.097e-05,1.8091e-05,1.72918e-05,2.78896e-05,1.78433e-05
278,2.81206e-05,1.63948e-05,1.5668e-05,2.53141e-05,1.61695e-05
277,2.55156e-05,1.48471e-05,1.41865e-05,2.29603e-05,1.46423e-05
276,2.31356e-05,1.34358e-05,1.28359e-05,2.08107e-05,1.32498e-05
275,2.09627e-05,1.21498e-05,1.16054e-05,1.88488e-05,1.19811e-05
274,1.89801e-05,1.09789e-05,1.04852e-05,1.70596e-05,1.08258e-05
273,1.71726e-05,9.91342e-06,9.46606e-06,1.54289e-05,9.77472e-06
272,1.55257e-05,8.94464e-06,8.53955e-06,1.39438e-05,8.81904e-06
271,1.40264e-05,8.06441e-06,7.69787e-06,1.25922e-05,7.95075e-06
270,1.26623e-05,7.26523e-06,6.93381e-06,1.13631e-05,7.16246e-06
269,1.14222e-05,6.54016e-06,6.24074e-06,1.02461e-05,6.44731e-06
268,1.02956e-05,5.88285e-06,5.61253e-06,9.23176e-06,5.79901e-06
267,9.27293e-06,5.28739e-06,5.04355e-06,8.31135e-06,5.21177e-06
266,8.34526e-06,4.7484e-06,4.52861e-06,7.4768e-06,4.68023e-06
265,7.50442e-06,4.26089e-06,4.06294e-06,6.72068e-06,4.19949e-06
264,6.74288e-06,3.8203e-06,3.64216e-06,6.03615e-06,3.76504e-06
263,6.05369e-06,3.42242e-06,3.26225e-06,5.41691e-06,3.37273e-06
262,5.43047e-06,3.06341e-06,2.91951e-06,4.85719e-06,3.01877e-06
261,4.86735e-06,2.73973e-06,2.61055e-06,4.35166e-06,2.69965e-06
260,4.35896e-06,2.44815e-06,2.33228e-06,3.89545e-06,2.4122e-06
259,3.90034e-06,2.1857e-06,2.08186e-06,3.48408e-06,2.15348e-06
258,3.48697e-06,1.94967e-06,1.8567e-06,3.11347e-06,1.92082e-06
257,3.11469e-06,1.73758e-06,1.65441e-06,2.77984e-06,1.71177e-06
256,2.77971e-06,1.54718e-06,1.47283e-06,2.47977e-06,1.5241e-06
255,2.47854e-06,1.37638e-06,1.30999e-06,2.2101e-06,1.35577e-06
254,2.208e-06,1.22331e-06,1.16408e-06,1.96798e-06,1.20492e-06
253,1.9652e-06,1.08625e-06,1.03345e-06,1.75078e-06,1.06986e-06
252,1.74748e-06,9.63638e-07,9.16618e-07,1.5561e-06,9.49041e-07
251,1.55243e-06,8.5405e-07,8.12216e-07,1.38177e-06,8.41062e-07
250,1.37784e-06,7.56195e-07,7.19009e-07,1.22581e-06,7.44649e-07
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
,2.14948e-27,2.21611e-27,2.22092e-27,2.1639e-27,2.21759e-27
