Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
406,0.26739296,0.24240037,0.33259433,0.42451538,0.22551444
405,0.27171569,0.25465321,0.32488437,0.36829053,0.20658585
404,0.26718331,0.23886497,0.31360769,0.36122706,0.21163804
403,0.27498601,0.25220249,0.3245609,0.37977021,0.23446345
402,0.29225908,0.28687348,0.32331946,0.36365281,0.22659766
401,0.27174466,0.26537568,0.32233868,0.34228159,0.21866709
400,0.26542945,0.25048636,0.33056517,0.3422566,0.23091336
399,0.25961108,0.24356573,0.33156625,0.3640437,0.21226806
398,0.26907249,0.27318771,0.34596154,0.37727159,0.22249259
397,0.28393981,0.26610586,0.3395614,0.362337,0.23420447
396,0.27277572,0.27562096,0.34807381,0.34906823,0.23708801
395,0.26825921,0.27020797,0.34839429,0.36583202,0.22110855
394,0.27324341,0.27309049,0.35314233,0.35284664,0.2309666
393,0.27658315,0.30465462,0.38103873,0.4220102,0.23365975
392,0.27903609,0.27986136,0.38193635,0.41486905,0.22928424
391,0.29005397,0.28336349,0.3673661,0.35678769,0.23535192
390,0.27146744,0.30984385,0.37916928,0.36034644,0.26387109
389,0.27385902,0.29415181,0.39093029,0.37869309,0.23586546
388,0.2733487,0.29126961,0.39224711,0.39846809,0.23916728
387,0.29907392,0.35640811,0.40121836,0.39276448,0.24467733
386,0.27881146,0.3062994,0.4023938,0.39195939,0.26188896
385,0.27585552,0.30534358,0.42653093,0.46049517,0.24264953
384,0.2800783,0.31368151,0.42162077,0.41750451,0.25506279
383,0.26912118,0.30394179,0.434089,0.42021318,0.24774589
382,0.26168635,0.29026603,0.43082991,0.39455869,0.25375588
381,0.27885994,0.35386217,0.44817317,0.39770175,0.25546033
380,0.28925656,0.37582554,0.45959481,0.41454012,0.25541578
379,0.30332358,0.35258532,0.45566748,0.39038666,0.2471026
378,0.30513795,0.33066505,0.46530568,0.46408369,0.26071097
377,0.30412341,0.38215688,0.46811173,0.43727464,0.27207081
376,0.28937512,0.36868508,0.48147637,0.45496074,0.28147368
375,0.28395775,0.35506903,0.49529424,0.44399394,0.28247988
374,0.28576843,0.35660875,0.48652025,0.41925837,0.28810437
373,0.2863695,0.33835565,0.48530779,0.37325432,0.27645441
372,0.28717946,0.33334057,0.50289499,0.42782919,0.27954523
371,0.28156506,0.35251199,0.52177983,0.42115346,0.28466044
370,0.28123568,0.33947538,0.52452102,0.44065884,0.2960496
369,0.2947055,0.3399999,0.53540985,0.41453593,0.28546801
368,0.29857377,0.36044979,0.55054657,0.46133007,0.3043641
367,0.30296107,0.38264957,0.55416153,0.43025313,0.30618835
366,0.29708512,0.37095045,0.56487034,0.46155747,0.31338856
365,0.29743961,0.35451826,0.56678923,0.42623219,0.29221815
364,0.27900126,0.3603808,0.57914595,0.40567145,0.31347327
363,0.30074572,0.36579366,0.60812522,0.49700426,0.31088552
362,0.31111875,0.38935168,0.58963388,0.41318777,0.30579355
361,0.29595251,0.37261441,0.59574934,0.39524512,0.31559804
360,0.29373687,0.36694987,0.6246772,0.42992937,0.30182151
359,0.2955137,0.29199678,0.63404763,0.43880834,0.30900371
358,0.30220689,0.37020487,0.65367038,0.48275543,0.31258817
357,0.28489251,0.33291678,0.66511086,0.48945738,0.31417537
356,0.31003797,0.36940864,0.66500595,0.45684514,0.32077382
355,0.30130278,0.37780648,0.66732674,0.4287666,0.31599316
354,0.29889755,0.38171361,0.68585477,0.44482276,0.32492146
353,0.28239518,0.35306013,0.69683723,0.43910075,0.3124138
352,0.30822633,0.35148803,0.68958743,0.40807072,0.3137564
351,0.30795097,0.3509021,0.69465609,0.40483547,0.33183457
350,0.28895084,0.34417875,0.69553785,0.38184898,0.33407541
349,0.3235095,0.34186381,0.90439954,0.38444759,0.37793681
348,0.32804092,0.36379774,0.89879615,0.30134863,0.40269557
347,0.31359284,0.33143137,0.92594503,0.36211242,0.3785124
346,0.35446549,0.40218262,0.95433611,0.39093174,0.39000112
345,0.33266844,0.36406158,0.95654019,0.38169139,0.39735193
344,0.31279755,0.31442173,0.95128351,0.41750328,0.36755557
343,0.32794482,0.28707087,0.94516507,0.41583346,0.38115562
342,0.34491285,0.30878618,0.95327693,0.29360915,0.37349921
341,0.31639287,0.29170916,0.98139071,0.38244968,0.40429901
340,0.36086012,0.37940485,1.0057954,0.44981436,0.38892906
339,0.34493537,0.46380704,1.03647102,0.40392231,0.37114581
338,0.34506485,0.46070734,1.03423483,0.3558215,0.38424931
337,0.3505035,0.48781787,1.03925832,0.37982461,0.39177692
336,0.32207662,0.46907568,1.05956046,0.36917576,0.37451916
335,0.34140689,0.43226072,1.07101349,0.37835782,0.39171314
334,0.34140697,0.44116702,1.08044535,0.32049175,0.38750441
333,0.3301446,0.41066449,1.06950794,0.30452557,0.37922464
332,0.32860356,0.45518147,1.11083833,0.33154429,0.40279258
331,0.32023393,0.42296247,1.13687834,0.37895033,0.38576027
330,0.31879735,0.44341652,1.1495424,0.36002509,0.4078308
329,0.32078191,0.50056177,1.16785834,0.40323346,0.40579107
328,0.30262378,0.44679087,1.17970076,0.36957613,0.40659765
327,0.31871855,0.51457148,1.20505475,0.39145321,0.40789637
326,0.31127389,0.4523882,1.24541872,0.38918056,0.43633092
325,0.31057205,0.48222362,1.25156246,0.35912928,0.4103344
324,0.3097616,0.45202504,1.29852381,0.36918428,0.42650019
323,0.32270566,0.53084451,1.33141736,0.41827092,0.43964237
322,0.32428569,0.50299701,1.3754748,0.48750005,0.43681308
321,0.32215991,0.4993078,1.39030109,0.42144746,0.46638815
320,0.31352292,0.46725142,1.43779043,0.47538812,0.46101345
319,0.32624519,0.48861126,1.46591548,0.42836928,0.48399058
318,0.33936987,0.51919455,1.50677208,0.43864743,0.47342296
317,0.32083668,0.50716119,1.55543282,0.50720163,0.48892133
316,0.33016391,0.53216687,1.61962974,0.44944235,0.51640351
315,0.3424099,0.53543688,1.69783862,0.51601887,0.52894003
314,0.32214343,0.54260484,1.77026536,0.56137452,0.56164585
313,0.35122427,0.57407707,1.87493856,0.63832516,0.58532553
312,0.34561501,0.59764539,1.96615297,0.65030372,0.60599226
311,0.36343292,0.60894888,2.11043133,0.74959119,0.64481493
310,0.34211317,0.61846877,2.28668525,0.80899763,0.69860117
309,0.36324367,0.65881441,2.49890681,0.95422701,0.76912725
308,0.37047054,0.74020462,2.75150596,1.07428714,0.85059816
307,0.39559469,0.80521794,3.06366128,1.17461317,0.94097538
306,0.44256192,0.87953683,3.52051583,1.54718878,1.08578139
305,0.48123803,0.96714684,4.07277237,1.80938585,1.22334258
304,0.53665269,1.11039455,4.76688301,2.23737987,1.46335095
303,0.60731559,1.26493926,5.61784049,2.67556818,1.7088291
302,0.68365499,1.4469093,6.71223141,3.30449085,2.02011938
301,0.78919269,1.73335189,8.03686106,4.08651924,2.41323357
